version 4841
stamp 2022-02-28T19:09:25.840102+0000
last_osdmap_epoch 0
last_pg_scan 0
PG_STAT  OBJECTS  MISSING_ON_PRIMARY  DEGRADED  MISPLACED  UNFOUND  BYTES     OMAP_BYTES*  OMAP_KEYS*  LOG  DISK_LOG  STATE              STATE_STAMP                      VERSION  REPORTED  UP             UP_PRIMARY  ACTING         ACTING_PRIMARY  LAST_SCRUB  SCRUB_STAMP                      LAST_DEEP_SCRUB  DEEP_SCRUB_STAMP                 SNAPTRIMQ_LEN
6.fa           0                   0         0          0        0         0            0           0    0         0       active+clean  2022-02-28T19:03:21.208900+0000      0'0    556:38      [6,19,18]           6      [6,19,18]               6         0'0  2022-02-28T16:38:01.858966+0000              0'0  2022-02-23T17:14:19.618385+0000              0
5.f9           0                   0         0          0        0         0            0           0    3         3       active+clean  2022-02-28T19:03:04.416506+0000    482'3   556:337      [8,18,12]           8      [8,18,12]               8       482'3  2022-02-28T16:43:50.287881+0000              0'0  2022-02-25T00:12:10.448406+0000              0
3.ff           0                   0         0          0        0         0            0           0    5         5       active+clean  2022-02-28T19:04:10.257383+0000    482'5    556:49   [6,18,21,10]           6   [6,18,21,10]               6       482'5  2022-02-28T16:36:19.170397+0000            329'2  2022-02-24T18:10:24.341038+0000              0
4.f8           0                   0         0          0        0         0            0           0    1         1       active+clean  2022-02-28T19:04:09.816527+0000    482'1    556:51     [21,10,18]          21     [21,10,18]              21       482'1  2022-02-28T16:42:17.980331+0000              0'0  2022-02-23T17:10:21.806214+0000              0
6.fb           0                   0         0          0        0         0            0           0    0         0       active+clean  2022-02-28T19:04:10.769031+0000      0'0    556:32      [10,13,8]          10      [10,13,8]              10         0'0  2022-02-28T16:44:58.614082+0000              0'0  2022-02-23T17:14:19.618385+0000              0
5.f8           0                   0         0          0        0         0            0           0    1         1       active+clean  2022-02-28T19:04:10.322874+0000    482'1    556:47      [7,11,13]           7      [7,11,13]               7       482'1  2022-02-28T16:34:02.732605+0000            482'1  2022-02-28T16:34:02.732605+0000              0
3.fe           0                   0         0          0        0         0            0           0    9         9       active+clean  2022-02-28T19:04:09.775656+0000    482'9    556:99    [15,12,7,5]          15    [15,12,7,5]              15       482'9  2022-02-28T16:37:42.349178+0000              0'0  2022-02-23T17:08:27.538171+0000              0
4.f9           0                   0         0          0        0         0            0           0    3         3       active+clean  2022-02-28T19:03:21.122357+0000    482'3    556:38       [6,20,8]           6       [6,20,8]               6         0'0  2022-02-28T16:31:02.997773+0000              0'0  2022-02-23T17:10:21.806214+0000              0
6.f8           0                   0         0          0        0         0            0           0    0         0       active+clean  2022-02-28T19:03:04.507442+0000      0'0    556:44      [20,13,8]          20      [20,13,8]              20         0'0  2022-02-28T16:33:22.813785+0000              0'0  2022-02-23T17:14:19.618385+0000              0
5.fb           0                   0         0          0        0         0            0           0    1         1       active+clean  2022-02-28T19:06:40.606644+0000    482'1    556:23      [9,21,13]           9      [9,21,13]               9       482'1  2022-02-28T16:39:18.965948+0000              0'0  2022-02-23T17:13:31.371583+0000              0
